,Unnamed: 0,journey_date,Airline_name,source,Destination,departure_time,arrival_time,Duration,total_stops,Price
0,0,05/10/2021,Indigo,Delhi,Mumbai,06:05,12:35,06h 30m,1-stop,"5,496"
1,1,05/10/2021,GO FIRST,Delhi,Mumbai,09:40,11:45,02h 05m,non-stop,"5,954"
2,2,05/10/2021,GO FIRST,Delhi,Mumbai,18:40,20:45,02h 05m,non-stop,"5,954"
3,3,05/10/2021,GO FIRST,Delhi,Mumbai,22:45,00:50,02h 05m,non-stop,"5,954"
4,4,05/10/2021,SpiceJet,Delhi,Mumbai,18:40,20:40,02h 00m,non-stop,"5,955"
5,5,05/10/2021,Indigo,Delhi,Mumbai,12:00,14:05,02h 05m,non-stop,"5,955"
6,6,05/10/2021,Indigo,Delhi,Mumbai,14:00,16:05,02h 05m,non-stop,"5,955"
7,7,05/10/2021,Indigo,Delhi,Mumbai,20:30,22:35,02h 05m,non-stop,"5,955"
8,8,05/10/2021,Indigo,Delhi,Mumbai,06:10,08:20,02h 10m,non-stop,"5,955"
9,9,05/10/2021,Indigo,Delhi,Mumbai,08:55,11:05,02h 10m,non-stop,"5,955"
10,10,05/10/2021,Indigo,Delhi,Mumbai,21:55,00:05,02h 10m,non-stop,"5,955"
11,11,05/10/2021,Indigo,Delhi,Mumbai,10:10,12:25,02h 15m,non-stop,"5,955"
12,12,05/10/2021,Indigo,Delhi,Mumbai,15:35,17:50,02h 15m,non-stop,"5,955"
13,13,05/10/2021,SpiceJet,Delhi,Mumbai,20:20,22:40,02h 20m,non-stop,"5,955"
14,14,05/10/2021,Indigo,Delhi,Mumbai,17:45,20:10,02h 25m,non-stop,"5,955"
15,15,05/10/2021,Vistara,Delhi,Mumbai,12:45,14:55,02h 10m,non-stop,"5,955"
16,16,05/10/2021,Vistara,Delhi,Mumbai,15:30,17:40,02h 10m,non-stop,"5,955"
17,17,05/10/2021,Vistara,Delhi,Mumbai,16:55,19:05,02h 10m,non-stop,"5,955"
18,18,05/10/2021,Vistara,Delhi,Mumbai,10:20,12:35,02h 15m,non-stop,"5,955"
19,19,05/10/2021,Vistara,Delhi,Mumbai,19:45,22:00,02h 15m,non-stop,"5,955"
20,20,05/10/2021,Vistara,Delhi,Mumbai,08:50,11:10,02h 20m,non-stop,"5,955"
21,21,05/10/2021,Vistara,Delhi,Mumbai,17:45,20:05,02h 20m,non-stop,"5,955"
22,22,05/10/2021,Vistara,Delhi,Mumbai,18:55,21:15,02h 20m,non-stop,"5,955"
23,23,05/10/2021,Air India,Delhi,Mumbai,07:00,09:05,02h 05m,non-stop,"5,955"
24,24,05/10/2021,Air India,Delhi,Mumbai,10:15,12:25,02h 10m,non-stop,"5,955"
25,25,05/10/2021,Air India,Delhi,Mumbai,20:00,22:10,02h 10m,non-stop,"5,955"
26,26,05/10/2021,Air India,Delhi,Mumbai,19:00,21:15,02h 15m,non-stop,"5,955"
27,27,05/10/2021,AirAsia,Delhi,Mumbai,12:40,20:15,07h 35m,1-stop,"5,953"
28,28,05/10/2021,AirAsia,Delhi,Mumbai,11:55,20:15,08h 20m,1-stop,"5,953"
29,29,05/10/2021,AirAsia,Delhi,Mumbai,08:00,16:35,08h 35m,1-stop,"5,953"
30,30,05/10/2021,AirAsia,Delhi,Mumbai,18:35,06:20,11h 45m,1-stop,"5,953"
31,31,05/10/2021,AirAsia,Delhi,Mumbai,16:15,06:20,14h 05m,1-stop,"5,953"
32,32,05/10/2021,AirAsia,Delhi,Mumbai,05:20,20:15,14h 55m,1-stop,"5,953"
33,33,05/10/2021,GO FIRST,Delhi,Mumbai,08:10,13:00,04h 50m,1-stop,"5,954"
34,34,05/10/2021,GO FIRST,Delhi,Mumbai,16:10,21:05,04h 55m,1-stop,"5,954"
35,35,05/10/2021,GO FIRST,Delhi,Mumbai,10:40,15:40,05h 00m,1-stop,"5,954"
36,36,05/10/2021,GO FIRST,Delhi,Mumbai,12:20,18:15,05h 55m,1-stop,"5,954"
37,37,05/10/2021,GO FIRST,Delhi,Mumbai,08:10,14:55,06h 45m,1-stop,"5,954"
38,38,05/10/2021,GO FIRST,Delhi,Mumbai,11:20,18:15,06h 55m,1-stop,"5,954"
39,39,05/10/2021,GO FIRST,Delhi,Mumbai,08:10,15:40,07h 30m,1-stop,"5,954"
40,40,05/10/2021,GO FIRST,Delhi,Mumbai,09:10,18:15,09h 05m,1-stop,"5,954"
41,41,05/10/2021,GO FIRST,Delhi,Mumbai,07:25,18:15,10h 50m,1-stop,"5,954"
42,42,05/10/2021,GO FIRST,Delhi,Mumbai,08:40,22:00,13h 20m,1-stop,"5,954"
43,43,05/10/2021,GO FIRST,Delhi,Mumbai,20:20,09:55,13h 35m,1-stop,"5,954"
44,44,05/10/2021,Air India,Delhi,Mumbai,15:05,18:15,03h 10m,1-stop,"5,955"
45,45,05/10/2021,Air India,Delhi,Mumbai,18:00,21:35,03h 35m,1-stop,"5,955"
46,46,05/10/2021,Indigo,Delhi,Mumbai,13:45,17:45,04h 00m,1-stop,"5,955"
47,47,05/10/2021,Indigo,Delhi,Mumbai,18:45,23:00,04h 15m,1-stop,"5,955"
48,48,05/10/2021,Indigo,Delhi,Mumbai,13:40,18:35,04h 55m,1-stop,"5,955"
49,49,05/10/2021,Indigo,Delhi,Mumbai,09:35,14:50,05h 15m,1-stop,"5,955"
50,50,05/10/2021,Indigo,Delhi,Mumbai,13:10,18:35,05h 25m,1-stop,"5,955"
51,51,05/10/2021,Indigo,Delhi,Mumbai,07:20,13:10,05h 50m,1-stop,"5,955"
52,52,05/10/2021,Indigo,Delhi,Mumbai,09:55,15:50,05h 55m,1-stop,"5,955"
53,53,05/10/2021,Indigo,Delhi,Mumbai,11:35,17:35,06h 00m,1-stop,"5,955"
54,54,05/10/2021,Indigo,Delhi,Mumbai,13:35,19:40,06h 05m,1-stop,"5,955"
55,55,05/10/2021,Indigo,Delhi,Mumbai,17:15,23:25,06h 10m,1-stop,"5,955"
56,56,05/10/2021,Indigo,Delhi,Mumbai,10:40,17:00,06h 20m,1-stop,"5,955"
57,57,05/10/2021,Indigo,Delhi,Mumbai,12:45,19:20,06h 35m,1-stop,"5,955"
58,58,05/10/2021,Indigo,Delhi,Mumbai,13:55,20:35,06h 40m,1-stop,"5,955"
59,59,05/10/2021,Indigo,Delhi,Mumbai,14:20,21:10,06h 50m,1-stop,"5,955"
60,60,05/10/2021,Indigo,Delhi,Mumbai,09:30,17:00,07h 30m,1-stop,"5,955"
61,61,05/10/2021,SpiceJet,Delhi,Mumbai,06:50,16:55,10h 05m,1-stop,"5,955"
62,62,05/10/2021,SpiceJet,Delhi,Mumbai,16:35,14:45,22h 10m,1-stop,"5,955"
63,63,05/10/2021,SpiceJet,Delhi,Mumbai,06:50,09:05,02h 15m,non-stop,"6,060"
64,64,05/10/2021,Indigo,Delhi,Mumbai,19:05,21:05,02h 00m,non-stop,"6,165"
65,65,05/10/2021,Vistara,Delhi,Mumbai,09:30,11:35,02h 05m,non-stop,"6,165"
66,66,05/10/2021,Vistara,Delhi,Mumbai,20:50,23:00,02h 10m,non-stop,"6,165"
67,67,05/10/2021,Indigo,Delhi,Mumbai,13:50,19:30,05h 40m,1-stop,"6,443"
68,68,05/10/2021,Vistara,Delhi,Mumbai,06:00,08:00,02h 00m,non-stop,"6,690"
69,69,05/10/2021,Indigo,Delhi,Mumbai,08:55,13:10,04h 15m,1-stop,"6,932"
70,70,05/10/2021,Indigo,Delhi,Mumbai,08:10,13:10,05h 00m,1-stop,"6,932"
71,71,05/10/2021,Indigo,Delhi,Mumbai,11:30,18:45,07h 15m,1-stop,"6,932"
72,72,05/10/2021,Air India,Delhi,Mumbai,06:15,13:15,07h 00m,1-stop,"7,268"
73,73,05/10/2021,AirAsia,Delhi,Mumbai,05:20,11:20,06h 00m,1-stop,"7,273"
74,74,05/10/2021,Indigo,Delhi,Mumbai,18:10,22:35,04h 25m,1-stop,"7,420"
75,75,05/10/2021,Air India,Delhi,Mumbai,05:45,09:40,03h 55m,1-stop,"7,468"
76,76,05/10/2021,Air India,Delhi,Mumbai,20:00,09:40,13h 40m,1-stop,"7,468"
77,77,05/10/2021,Air India,Delhi,Mumbai,09:00,23:25,14h 25m,1-stop,"7,468"
78,78,05/10/2021,Air India,Delhi,Mumbai,05:45,23:25,17h 40m,1-stop,"7,468"
79,79,05/10/2021,Air India,Delhi,Mumbai,09:00,09:40,24h 40m,1-stop,"7,468"
80,80,05/10/2021,Vistara,Delhi,Mumbai,13:20,16:00,26h 40m,1-stop,"8,160"
81,81,05/10/2021,Air India,Delhi,Mumbai,13:20,17:50,04h 30m,1-stop,"8,475"
82,82,05/10/2021,Vistara,Delhi,Mumbai,07:30,09:45,02h 15m,non-stop,"8,895"
83,83,05/10/2021,Vistara,Delhi,Mumbai,17:10,15:00,21h 50m,1-stop,"9,000"
84,84,05/10/2021,Air India,Delhi,Mumbai,20:10,20:00,23h 50m,1-stop,"9,000"
85,85,05/10/2021,Vistara,Delhi,Mumbai,13:40,15:00,25h 20m,1-stop,"9,000"
86,86,05/10/2021,Vistara,Delhi,Mumbai,17:10,21:35,04h 25m,1-stop,"9,210"
87,87,05/10/2021,Vistara,Delhi,Mumbai,13:40,21:35,07h 55m,1-stop,"9,210"
88,88,05/10/2021,SpiceJet,Delhi,Mumbai,16:40,16:55,24h 15m,1-stop,"9,288"
89,89,05/10/2021,Air India,Delhi,Mumbai,16:35,16:25,23h 50m,1-stop,"9,590"
90,90,05/10/2021,Indigo,Delhi,Mumbai,10:35,17:05,06h 30m,1-stop,"9,735"
91,91,05/10/2021,Vistara,Delhi,Mumbai,14:45,23:00,08h 15m,1-stop,"9,840"
92,92,05/10/2021,Air India,Delhi,Mumbai,21:25,07:10,09h 45m,1-stop,"9,840"
93,93,05/10/2021,Air India,Delhi,Mumbai,21:25,09:40,12h 15m,1-stop,"9,840"
94,94,05/10/2021,Vistara,Delhi,Mumbai,20:35,10:40,14h 05m,1-stop,"9,840"
95,95,05/10/2021,Air India,Delhi,Mumbai,08:00,23:30,15h 30m,1-stop,"9,840"
96,96,05/10/2021,Vistara,Delhi,Mumbai,07:10,23:00,15h 50m,1-stop,"9,840"
97,97,05/10/2021,Vistara,Delhi,Mumbai,14:45,10:40,19h 55m,1-stop,"9,840"
98,98,05/10/2021,Air India,Delhi,Mumbai,08:00,07:10,23h 10m,1-stop,"9,840"
99,99,05/10/2021,Air India,Delhi,Mumbai,08:00,09:40,25h 40m,1-stop,"9,840"
100,100,05/10/2021,Vistara,Delhi,Mumbai,20:35,23:00,26h 25m,1-stop,"9,840"
101,101,05/10/2021,Vistara,Delhi,Mumbai,07:10,10:40,27h 30m,1-stop,"9,840"
102,102,05/10/2021,Indigo,Delhi,Mumbai,09:45,15:35,05h 50m,1-stop,"9,945"
103,103,05/10/2021,Air India,Delhi,Mumbai,12:50,19:25,06h 35m,1-stop,"9,988"
104,104,05/10/2021,Air India,Delhi,Mumbai,13:00,13:35,24h 35m,1-stop,"9,988"
105,105,05/10/2021,Vistara,Delhi,Mumbai,17:45,23:00,05h 15m,1-stop,"10,050"
106,106,05/10/2021,Vistara,Delhi,Mumbai,17:45,10:40,16h 55m,1-stop,"10,050"
107,107,05/10/2021,Air India,Delhi,Mumbai,06:20,20:00,13h 40m,1-stop,"10,208"
108,108,05/10/2021,Indigo,Delhi,Mumbai,09:55,17:05,07h 10m,1-stop,"10,349"
109,109,05/10/2021,Air India,Delhi,Mumbai,12:10,08:45,20h 35m,1-stop,"10,470"
110,110,05/10/2021,Vistara,Delhi,Mumbai,11:10,13:35,26h 25m,1-stop,"10,470"
111,111,05/10/2021,Vistara,Delhi,Mumbai,11:10,14:45,27h 35m,1-stop,"10,628"
112,112,05/10/2021,Air India,Delhi,Mumbai,12:10,17:10,05h 00m,1-stop,"10,680"
113,113,05/10/2021,Vistara,Delhi,Mumbai,13:20,18:20,05h 00m,1-stop,"10,680"
114,114,05/10/2021,Air India,Delhi,Mumbai,10:15,15:40,05h 25m,1-stop,"10,680"
115,115,05/10/2021,Vistara,Delhi,Mumbai,08:30,13:35,05h 05m,1-stop,"10,995"
116,116,05/10/2021,Indigo,Delhi,Mumbai,08:50,14:30,05h 40m,1-stop,"11,100"
117,117,05/10/2021,Indigo,Delhi,Mumbai,10:55,16:50,05h 55m,1-stop,"11,153"
118,118,05/10/2021,Air India,Delhi,Mumbai,07:00,15:50,08h 50m,1-stop,"11,258"
119,119,05/10/2021,Indigo,Delhi,Mumbai,12:10,17:45,05h 35m,1-stop,"11,415"
120,120,05/10/2021,Indigo,Delhi,Mumbai,12:10,19:50,07h 40m,1-stop,"11,415"
121,121,05/10/2021,Vistara,Delhi,Mumbai,08:30,14:45,06h 15m,1-stop,"11,520"
122,122,05/10/2021,Air India,Delhi,Mumbai,15:00,16:25,25h 25m,1-stop,"11,520"
123,123,05/10/2021,Air India,Delhi,Mumbai,04:55,13:40,08h 45m,1-stop,"11,900"
124,124,05/10/2021,Air India,Delhi,Mumbai,21:15,13:40,16h 25m,1-stop,"11,900"
125,125,05/10/2021,Vistara,Delhi,Mumbai,16:05,21:50,05h 45m,1-stop,"12,150"
126,126,05/10/2021,Vistara,Delhi,Mumbai,14:10,20:15,06h 05m,1-stop,"12,150"
127,127,05/10/2021,Vistara,Delhi,Mumbai,14:10,21:50,07h 40m,1-stop,"12,150"
128,128,05/10/2021,Vistara,Delhi,Mumbai,20:40,09:30,12h 50m,1-stop,"12,150"
129,129,05/10/2021,Air India,Delhi,Mumbai,21:15,10:35,13h 20m,1-stop,"12,150"
130,130,05/10/2021,Vistara,Delhi,Mumbai,19:50,09:30,13h 40m,1-stop,"12,150"
131,131,05/10/2021,Vistara,Delhi,Mumbai,20:40,11:25,14h 45m,1-stop,"12,150"
132,132,05/10/2021,Air India,Delhi,Mumbai,06:10,21:05,14h 55m,1-stop,"12,150"
133,133,05/10/2021,Vistara,Delhi,Mumbai,19:50,11:25,15h 35m,1-stop,"12,150"
134,134,05/10/2021,Vistara,Delhi,Mumbai,17:35,09:30,15h 55m,1-stop,"12,150"
135,135,05/10/2021,Vistara,Delhi,Mumbai,16:05,09:30,17h 25m,1-stop,"12,150"
136,136,05/10/2021,Vistara,Delhi,Mumbai,17:35,11:25,17h 50m,1-stop,"12,150"
137,137,05/10/2021,Vistara,Delhi,Mumbai,20:40,20:15,23h 35m,1-stop,"12,150"
138,138,05/10/2021,Air India,Delhi,Mumbai,21:15,21:05,23h 50m,1-stop,"12,150"
139,139,05/10/2021,Vistara,Delhi,Mumbai,19:50,20:15,24h 25m,1-stop,"12,150"
140,140,05/10/2021,Vistara,Delhi,Mumbai,17:35,20:15,26h 40m,1-stop,"12,150"
141,141,05/10/2021,Air India,Delhi,Mumbai,18:40,17:10,22h 30m,1-stop,"12,465"
142,142,05/10/2021,Air India,Delhi,Mumbai,18:10,14:00,19h 50m,1-stop,"12,666"
143,143,05/10/2021,GO FIRST,Delhi,Mumbai,05:45,21:05,15h 20m,2+-stop,"12,885"
144,144,05/10/2021,Vistara,Delhi,Mumbai,17:35,23:05,05h 30m,1-stop,"12,990"
145,145,05/10/2021,Air India,Delhi,Mumbai,09:45,18:00,08h 15m,1-stop,"12,990"
146,146,05/10/2021,Vistara,Delhi,Mumbai,13:30,23:05,09h 35m,1-stop,"12,990"
147,147,05/10/2021,Air India,Delhi,Mumbai,20:40,08:05,11h 25m,1-stop,"12,990"
148,148,05/10/2021,Vistara,Delhi,Mumbai,08:10,20:15,12h 05m,1-stop,"12,990"
149,149,05/10/2021,Vistara,Delhi,Mumbai,08:10,21:50,13h 40m,1-stop,"12,990"
150,150,05/10/2021,Vistara,Delhi,Mumbai,07:20,23:05,15h 45m,1-stop,"12,990"
151,151,05/10/2021,Vistara,Delhi,Mumbai,19:55,11:50,15h 55m,1-stop,"12,990"
152,152,05/10/2021,Air India,Delhi,Mumbai,20:40,17:05,20h 25m,1-stop,"12,990"
153,153,05/10/2021,Vistara,Delhi,Mumbai,19:55,23:05,27h 10m,1-stop,"12,990"
154,154,05/10/2021,Vistara,Delhi,Mumbai,20:30,13:00,16h 30m,1-stop,"13,200"
155,155,05/10/2021,Vistara,Delhi,Mumbai,20:30,20:20,23h 50m,1-stop,"13,200"
156,156,05/10/2021,Vistara,Delhi,Mumbai,20:30,23:15,26h 45m,1-stop,"13,200"
157,157,05/10/2021,Vistara,Delhi,Mumbai,06:20,20:20,14h 00m,1-stop,"13,410"
158,158,05/10/2021,Air India,Delhi,Mumbai,12:10,22:25,10h 15m,1-stop,"13,463"
159,159,05/10/2021,Air India,Delhi,Mumbai,13:30,14:00,24h 30m,1-stop,"14,031"
